Case Number,General Location,lon,lat,Nature,Date/Time Occurred,Date/Time Reported,General Location ,,
2022PU01099,Wood Street Garage,40.4221320590961,-86.9107047757926,Criminal Mischief,9/8/2022 7:59,9/8/2022 8:17,Wood Street Garage,,
2022PU01100,Cary Quadrangle,40.4329305135742,-86.9179799335975,Theft-Bike,8/27/2022 11:00,9/8/2022 10:27,Cary Quadrangle,,
2022PU01101,Honors College North,40.43119,-86.9138099999999,Theft-Bike,8/25/2022 11:52,9/8/2022 12:39,Honors College North,,
2022PU01103,CoRec,40.43119,-86.9138099999999,Theft,9/8/2022 13:00,9/8/2022 15:31,CoRec,,
2022PU01104,Earhart Hall,40.4265400513198,-86.9257599007924,Theft,9/8/2022 16:35,9/8/2022 16:42,Earhart Hall,,
2022PU01105,McCutcheon Parking Garage,40.42428465523,-86.9283048956498,Theft,9/3/2022 17:30,9/8/2022 18:05,McCutcheon Parking Garage,,
2022PU01106,Shreve Hall,40.4265400513198,-86.9257599007924,Criminal Mischief,9/8/2022 20:34,9/8/2022 21:01,Shreve Hall,,
2022PU01107,Brunner Hospital,40.43119,-86.9138099999999,Harassment,9/8/2022 16:00,9/8/2022 23:13,Brunner Hospital,,
2022PU01108,W Stadium Ave/ N University Street,40.431485,-86.916875,Theft/ Public Intoxicaton/ False Informing,9/9/2022 1:00,9/9/2022 1:42,W Stadium Ave/ N University Street,,
2022PU01109,Brunner Hospital,40.43119,-86.9138099999999,Criminal Mischief,9/8/2022 15:00,9/9/2022 2:37,Brunner Hospital,,
2022PU01053,McCutcheon Hall,40.42428465523,-86.9283048956498,Burglary,8/30/2022 15:00,9/2/2022 16:35,McCutcheon Hall,,
2022PU01090,McCutcheon Parking Garage,40.42428465523,-86.9283048956498,Theft,9/7/2022 2:40,9/7/2022 7:40,McCutcheon Parking Garage,,
2022PU01095,McCutcheon Parking Garage,40.42428465523,-86.9283048956498,Theft,9/7/2022 3:54,9/7/2022 13:22,McCutcheon Parking Garage,,
2022PU01097,Whistler Hall,40.43119,-86.9138099999999,Theft,9/1/2022 16:00,9/7/2022 15:17,Whistler Hall,,
CSA,Res Halls or University Residences,40.4469284315661,-86.9367599333342,Dating Violence,9/5/2022 14:01,9/5/2022 22:07,Res Halls or University Residences,,
CSA,Res Halls or University Residences,40.4469284315661,-86.9367599333342,Aggravated Assault,9/5/2022 14:01,9/5/2022 22:07,Res Halls or University Residences,,
2022PU01080,Tarkington Hall,40.4314200582128,-86.91988992827,Theft-Bike,9/5/2022 16:17,9/5/2022 16:43,Tarkington Hall,,
2022PU01086,McCutcheon Parking Garage,40.42428465523,-86.9283048956498,Theft,8/28/2022 12:10,9/6/2022 20:35,McCutcheon Parking Garage,,
2022PU01087,Shreve Hall,40.4265400513198,-86.9257599007924,Theft-Bike,9/1/2022 1:43,9/6/2022 21:13,Shreve Hall,,
2022PU01088,CoRec,40.43119,-86.9138099999999,Theft,9/6/2022 21:51,9/6/2022 22:08,CoRec,,
2022PU01089,Wiley Hall,40.4303800316669,-86.9215849167302,Minor Consumption,9/6/2022 23:57,9/7/2022 0:17,Wiley Hall,,
2022PU01042,Ross-Ade Stadium,40.43341,-86.9181399999999,Minor Consumption/ Resisting Law Enforcement,9/1/22 Unknown Time,9/1/22 Unknown Time,Ross-Ade Stadium,,
2022PU01044,Ross-Ade Stadium,40.43341,-86.9181399999999,Public Intoxication,9/1/2022 23:03,9/1/2022 23:03,Ross-Ade Stadium,,
2022PU01049,Recitation Building,40.43119,-86.9138099999999,Theft-Bike,9/1/2022 17:00,9/2/2022 14:38,Recitation Building,,
2022PU01054,Hillenbrand Hall,40.4265400513198,-86.9257599007924,Blackmail,9/1/2022 23:00,9/2/2022 17:18,Hillenbrand Hall,,
2022PU01055,Tarkington Hall,40.4314200582128,-86.91988992827,Theft-Bike,9/1/2022 17:00,9/2/2022 17:38,Tarkington Hall,,
2022PU01057,Wiley Hall,40.4303800316669,-86.9215849167302,Blackmail,9/2/2022 18:38,9/2/2022 18:47,Wiley Hall,,
2022PU01059,Meredith Hall,40.4263600499491,-86.9241149103847,Drug Law Violation,9/2/2022 20:48,9/2/2022 21:33,Meredith Hall,,
2022PU01060,Engineering Mall,40.43119,-86.9138099999999,Theft,9/2/2022 23:55,9/3/2022 0:21,Engineering Mall,,
2022PU01061,Stanley Coulter Hall,40.43119,-86.9138099999999,Theft,9/3/2022 0:18,9/3/2022 0:22,Stanley Coulter Hall,,
2022PU01062,Owen Hall,40.4329750269805,-86.92066990627,Minor Consumption,9/3/2022 0:07,9/3/2022 0:29,Owen Hall,,
2022PU01063,Loeb Fountain,40.4127021033061,-86.8932548817713,Theft,9/3/2022 0:20,9/3/2022 0:39,Loeb Fountain,,
2022PU01064,Ross-Ade Stadium,40.43341,-86.9181399999999,Trespassing,9/3/2022 2:46,9/3/2022 2:55,Ross-Ade Stadium,,
